Month,IYW,IYR,IDU,IYK,IYC,IYJ,IYM,IYH,IYG,IYZ,IYE
15-Feb,8.29,-2.51,-6.08,5.22,7.08,6.91,7.80,-0.36,8.27,7.69,4.61
15-Mar,-3.24,1.10,-0.79,-1.82,0.12,-1.73,-4.56,3.02,-0.85,-1.40,-1.84
15-Apr,2.26,-4.87,-0.63,-0.22,-1.08,-0.46,3.26,2.96,1.89,1.72,6.98
15-May,2.27,-0.27,0.40,1.25,1.00,0.87,-0.30,2.27,2.64,-2.11,-4.98
15-Jun,-4.48,-4.26,-6.16,-1.02,-0.43,-2.38,-4.09,0.59,0.94,-1.98,-3.59
15-Jul,2.17,4.75,5.73,3.36,5.00,0.02,-6.66,5.21,2.35,-0.96,-8.21
15-Aug,-5.80,-5.75,-3.49,-4.84,-6.75,-5.47,-6.02,-3.32,-7.02,-1.55,-4.06
15-Sep,-1.30,1.62,2.88,0.10,-1.53,-2.79,-7.90,-0.09,-4.07,-4.98,-7.27
15-Oct,10.32,6.21,1.71,6.64,7.45,9.01,13.46,-6.57,6.10,10.86,11.48
15-Nov,0.93,-0.24,-1.99,-0.76,-0.93,1.42,0.94,2.31,3.05,-0.80,-0.39
15-Dec,-2.62,1.08,1.89,0.31,-1.00,-3.13,-4.21,0.59,-3.44,-2.70,-10.53
16-Jan,-5.57,-4.04,4.87,-1.84,-5.28,-5.79,-10.36,2.47,-11.11,-3.50,-3.55
16-Feb,-1.28,-0.79,1.81,0.58,0.69,2.89,6.98,6.42,-4.33,6.32,-2.24
16-Mar,9.15,10.32,8.18,5.75,5.93,7.86,8.64,-0.57,6.52,4.46,9.63
16-Apr,-5.71,-1.73,-2.09,-0.44,-0.99,1.47,5.99,1.88,5.19,1.63,9.06
16-May,5.75,2.33,1.53,0.42,0.35,0.70,-1.12,0.22,2.43,1.44,-1.19
16-Jun,-2.45,6.09,7.50,3.11,-0.60,0.82,-0.77,4.84,-7.43,5.54,2.94
16-Jul,8.47,3.72,-0.89,1.41,3.93,3.30,5.67,0.61,5.46,3.61,-2.04
16-Aug,2.14,-3.37,-5.53,-0.30,-1.27,0.94,-0.17,2.16,6.09,-6.38,1.25
16-Sep,2.39,-1.47,0.45,-1.70,0.07,0.10,-0.93,0.92,-2.33,0.68,3.22
16-Oct,-0.36,-4.97,0.76,-1.64,-2.25,-2.34,-1.89,-0.70,2.61,-2.82,-3.46
16-Nov,0.29,-2.26,-4.83,-2.92,5.01,7.80,8.26,3.04,13.69,1.82,8.97
16-Dec,1.34,4.13,4.67,2.67,0.35,0.50,-0.43,-0.72,4.10,8.41,1.68
17-Jan,4.76,0.20,1.26,2.83,3.11,1.88,4.43,6.65,0.72,3.11,-3.35
17-Feb,4.96,4.35,4.95,4.25,2.30,3.31,1.89,-4.36,5.29,-6.09,-2.37
17-Mar,2.49,-1.39,-0.10,0.55,1.26,-0.32,0.98,-2.71,-2.87,-1.91,-1.10
17-Apr,2.27,0.52,0.71,0.28,2.69,2.11,0.31,0.96,-0.66,5.06,-3.32
17-May,4.32,-0.04,4.02,2.81,1.37,1.40,-1.06,1.02,-1.71,-4.09,-3.76
17-Jun,-2.85,2.00,-2.57,-0.15,-1.76,1.19,1.60,1.63,6.75,-0.44,-0.50
17-Jul,3.64,1.19,2.53,0.12,1.72,1.17,2.39,6.48,1.59,-1.33,2.40
17-Aug,3.42,0.64,3.08,-0.74,-2.08,0.51,1.15,4.58,-1.44,0.13,-5.37
17-Sep,0.35,-0.76,-2.63,0.26,0.72,4.02,4.05,2.58,6.04,-3.65,10.07
17-Oct,7.74,0.04,3.90,-0.05,0.63,2.07,3.68,-7.21,3.07,-0.66,-0.78
17-Nov,0.97,2.51,2.79,3.42,6.09,3.15,0.75,6.64,3.70,-0.20,1.99
17-Dec,-0.08,-0.14,-6.00,1.96,2.49,1.25,2.28,-8.95,2.12,-1.68,5.12
18-Jan,7.18,-2.88,-3.21,1.85,8.96,5.85,3.92,5.55,7.13,0.48,3.26
18-Feb,0.44,-6.70,-4.00,-6.32,-4.15,-4.31,-5.12,1.33,-1.81,-5.66,-10.64
18-Mar,-3.72,3.73,3.99,-1.23,-2.43,-2.44,-4.29,0.48,-4.36,-2.12,2.06
18-Apr,-0.17,0.24,2.39,-3.95,1.77,-2.42,1.40,-2.90,0.18,1.15,9.38
18-May,7.46,3.25,-0.53,0.32,1.19,3.54,2.35,-2.59,0.65,-1.53,3.43
18-Jun,-0.95,4.03,2.45,4.10,3.45,-1.71,-0.29,6.84,-1.37,2.89,0.67
18-Jul,2.28,0.86,1.76,1.59,2.46,5.46,3.37,-1.37,4.24,0.25,1.22
18-Aug,7.32,2.35,1.06,-1.02,5.85,1.80,-0.87,-0.83,2.13,7.61,-3.09
18-Sep,-0.75,-2.61,-0.43,0.63,0.98,1.59,-2.58,-0.65,-2.99,0.77,2.65
18-Oct,-8.43,-2.63,1.21,-1.88,-8.02,-10.67,-9.98,4.86,-5.64,-5.24,-11.68
18-Nov,-2.00,4.67,3.79,1.13,2.49,3.02,2.35,5.68,2.19,2.27,-2.46
18-Dec,-8.02,-7.70,-4.17,-9.12,-9.16,-10.25,-7.01,3.30,-12.11,-8.70,-13.14
19-Jan,9.03,11.41,3.61,7.28,8.90,11.05,5.92,-2.63,10.17,6.53,11.42
19-Feb,5.31,0.79,3.86,2.08,1.53,6.56,3.42,-6.37,3.88,5.81,2.10
19-Mar,4.10,4.16,2.84,2.91,2.41,0.17,-0.22,-4.26,-2.49,0.73,2.33
19-Apr,6.73,-0.07,0.91,3.31,6.23,4.28,2.85,13.24,9.05,2.05,-0.17
19-May,-9.56,-0.05,-1.00,-6.66,-6.01,-6.77,-9.76,4.00,-7.31,-7.75,-11.37
19-Jun,7.85,1.82,3.27,6.23,6.90,7.65,12.59,-2.14,6.70,5.81,8.94
19-Jul,4.56,1.78,-0.34,2.24,0.95,0.90,-1.32,5.29,3.66,1.77,-2.18
19-Aug,-2.88,3.43,4.79,-0.81,-0.61,-2.13,-4.43,2.25,-4.48,-5.24,-8.58
19-Sep,1.86,1.83,4.06,3.19,-0.23,1.90,3.53,-1.65,3.20,3.40,3.97
19-Oct,3.79,0.81,-0.87,0.44,1.09,0.96,-0.04,-3.40,3.44,2.05,-2.33
19-Nov,5.49,-1.05,-2.06,1.69,2.59,4.55,3.47,8.25,5.34,-0.64,1.45
19-Dec,4.25,0.94,3.24,3.85,1.57,0.34,3.39,3.69,2.74,1.66,6.34
20-Jan,4.04,1.47,6.11,0.89,-0.82,-0.48,-7.47,-2.63,-1.79,-1.74,-11.27
20-Feb,-6.77,-6.98,-10.16,-8.23,-8.02,-8.82,-8.57,-6.37,-11.31,-5.31,-14.84
20-Mar,-9.18,-20.02,-10.01,-11.76,-14.75,-17.96,-16.10,-4.26,-21.91,-9.72,-35.70
20-Apr,14.68,9.11,3.23,10.26,15.55,11.03,17.42,13.24,12.46,9.41,30.77
20-May,7.61,1.85,4.16,4.52,6.44,7.11,7.70,4.00,4.21,3.56,1.69
20-Jun,7.08,2.50,-4.79,2.71,0.66,2.29,2.41,-2.14,-0.33,-1.64,-0.83
20-Jul,6.11,4.02,7.26,8.60,6.92,5.02,7.45,5.29,1.57,4.13,-4.45
20-Aug,11.68,0.23,-2.57,11.04,8.83,6.86,4.34,2.25,5.88,1.29,-0.68
20-Sep,-5.62,-2.29,0.47,-2.46,-1.86,-0.96,-0.95,-1.65,-4.53,-5.72,-14.64
20-Oct,-2.82,-2.94,4.74,-3.17,-2.79,-1.69,-1.52,-3.40,-2.03,-2.13,-3.57
20-Nov,11.00,8.55,1.66,12.78,12.78,15.75,13.66,8.25,17.73,11.87,27.37
20-Dec,5.04,2.51,0.79,6.71,3.27,2.51,3.13,3.69,7.23,2.11,4.41
